logLocation,logLevel,logStackTrace,exceptionType,exceptionCategory,exceptionSource,exceptionNum,exceptionMethodCall,exceptionMethodSource,exceptionMethodNum,catchInLoop,isLogInInnerLoop,isLogInInnerBranch,isLogInInnerTryBlock,throwInCatchBlock,returnInCatchBlock,throwInTryBlock,returnInTryBlock,numMethodCallsBeforeLogging,numMethodCallsAfterLogging,LOCBeforeLogging,LOCAfterLogging,numMethodCallsInTryBlock
TestDockerContainerRuntime.java:1248,info,false,ContainerExecutionException,NORMAL,FROMPROJECT,1,DockerLinuxContainerRuntime.launchContainer,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,3
TestDockerContainerRuntime.java:1266,info,false,ContainerExecutionException,NORMAL,FROMPROJECT,1,DockerLinuxContainerRuntime.launchContainer,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,3
TestDockerContainerRuntime.java:1284,info,false,ContainerExecutionException,NORMAL,FROMPROJECT,1,DockerLinuxContainerRuntime.launchContainer,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,3
TestDockerContainerRuntime.java:1937,warn,true,ContainerExecutionException,NORMAL,FROMPROJECT,1,MultiMethods,FROMPROJECT,2,false,false,false,false,true,false,false,false,0,3,0,2,9
TestDockerContainerRuntime.java:2013,warn,true,PrivilegedOperationException,NORMAL,FROMPROJECT,1,PrivilegedOperationExecutor.executePrivilegedOperation,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,4,0,4,1
TestDockerContainerRuntime.java:2014,info,false,PrivilegedOperationException,NORMAL,FROMPROJECT,1,PrivilegedOperationExecutor.executePrivilegedOperation,FROMPROJECT,1,false,false,false,false,true,false,false,false,1,3,1,3,1
ReadaheadPool.java:216,warn,true,IOException,NORMAL,FROMJDK,1,CacheManipulator.posixFadviseIfPossible,FROMPROJECT,1,false,false,false,false,false,true,false,false,0,0,5,0,2
NativeLibraryChecker.java:135,debug,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,2,false,false,false,false,false,false,false,false,0,1,0,2,2
NativeCodeLoader.java:53,debug,false,Throwable,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,1,2,2,3,2
NativeCodeLoader.java:54,debug,false,Throwable,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,2,0,3,1,2
FastByteComparisons.java:98,trace,false,Throwable,NORMAL,FROMJDK,1,Class.forName,FROMJDK,1,false,false,false,false,false,true,false,true,1,2,1,3,4
FastByteComparisons.java:99,trace,false,Throwable,NORMAL,FROMJDK,1,Class.forName,FROMJDK,1,false,false,false,false,false,true,false,true,3,1,2,2,4
EnforceNativeOutputCollectorDelegator.java:40,error,true,Exception,NORMAL,FROMJDK,1,NativeMapOutputCollectorDelegator.init,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,1
ITestBlockingThreadPoolExecutorService.java:153,info,false,InterruptedException,NORMAL,FROMJDK,1,Thread.sleep,FROMJDK,1,false,false,false,false,false,false,false,false,0,2,0,1,1
GenericOptionsParser.java:575,warn,false,ParseException,NORMAL,FROMLIBRARY,1,CommandLineParser.parse,FROMLIBRARY,1,false,false,false,false,false,false,false,false,0,1,0,3,3
TestAMRMProxyService.java:218,info,false,Throwable,NORMAL,FROMJDK,1,BaseAMRMProxyTest.finishApplicationMaster,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,2
TestAMRMProxyService.java:231,info,false,Throwable,NORMAL,FROMJDK,1,BaseAMRMProxyTest.finishApplicationMaster,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,2
TestAMRMProxyService.java:266,info,false,Throwable,NORMAL,FROMJDK,1,BaseAMRMProxyTest.finishApplicationMaster,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,2
TestAMRMProxyService.java:276,info,false,Throwable,NORMAL,FROMJDK,1,BaseAMRMProxyTest.finishApplicationMaster,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,2
TestAMRMProxyService.java:330,info,false,Throwable,NORMAL,FROMJDK,1,BaseAMRMProxyTest.allocate,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,1,0,2
TestAMRMProxyService.java:406,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,3,false,false,false,false,false,false,false,false,0,0,0,1,5
TestFederationInterceptor.java:408,info,true,Exception,NORMAL,FROMJDK,1,Object.wait,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,3
TestFederationInterceptor.java:445,info,true,Exception,NORMAL,FROMJDK,1,FederationInterceptor.registerApplicationMaster,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,2
MetricsJsonBuilder.java:125,warn,true,IOException,NORMAL,FROMJDK,1,ObjectWriter.writeValueAsString,FROMLIBRARY,1,false,false,false,false,false,true,false,true,0,1,0,1,1
TestDelegationToken.java:211,info,true,Throwable,NORMAL,FROMJDK,1,PrivilegedExceptionAction.run,FROMJDK,1,false,false,false,false,false,false,false,false,0,2,0,1,2
TestRMFailover.java:117,error,false,Exception,NORMAL,FROMJDK,1,YarnClient.getApplications,FROMPROJECT,1,true,false,false,false,false,false,false,true,0,0,0,0,1
ServiceClient.java:486,info,false,MultiExceptions,NORMAL,MIXED,3,MultiMethods,MIXED,8,false,false,false,false,false,false,false,true,0,1,0,1,20
ServiceClient.java:558,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,4,false,false,false,false,false,true,false,false,0,0,0,1,5
BloomMapFile.java:249,warn,false,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,4,false,false,false,false,false,false,false,false,0,0,0,1,4
TestBlockReaderFactory.java:230,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,1,0,1,6
TestBlockReaderFactory.java:322,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,true,false,false,false,0,0,0,1,2
TestBlockReaderFactory.java:329,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,MIXED,8,false,false,false,false,false,false,true,false,0,1,0,1,18
TestBlockReaderFactory.java:627,info,true,ClosedByInterruptException,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,true,false,false,false,false,false,false,false,0,1,0,2,5
TestBlockReaderFactory.java:636,error,true,Throwable,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,4,false,false,false,false,false,false,false,false,0,2,0,2,9
ITestS3AConfiguration.java:392,error,true,AWSS3IOException,NORMAL,FROMPROJECT,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,2,0,4,10
ITestS3AAWSCredentialsProvider.java:65,error,true,IOException,NORMAL,FROMJDK,1,ITestS3AAWSCredentialsProvider.createFailingFS,FROMPROJECT,1,false,false,true,false,true,false,false,false,1,0,1,2,1
MiniYARNCluster.java:181,warn,true,Exception,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,3,false,false,false,false,true,false,false,false,0,0,0,1,3
MiniYARNCluster.java:545,warn,false,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,0,0,0,2
MiniYARNCluster.java:717,info,true,YarnException,NORMAL,FROMPROJECT,1,ResourceTrackerService.nodeHeartbeat,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,1
MiniYARNCluster.java:732,info,true,YarnException,NORMAL,FROMPROJECT,1,ResourceTrackerService.registerNodeManager,FROMPROJECT,1,false,false,false,false,true,false,false,false,0,0,0,1,1
JobHistoryParser.java:117,info,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMPROJECT,2,false,false,false,false,false,false,false,false,0,0,0,1,2
TracerConfigurationManager.java:76,info,true,RuntimeException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,false,0,0,0,1,5
Shell.java:521,debug,true,IOException,NORMAL,FROMJDK,1,Shell.checkHadoopHome,FROMPROJECT,1,false,false,false,false,false,false,false,false,1,0,1,3,1
Shell.java:694,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,2,false,false,false,false,false,false,false,false,0,1,0,5,2
Shell.java:696,debug,true,IOException,NORMAL,FROMJDK,1,MultiMethods,MIXED,2,false,false,false,false,false,false,false,false,1,0,2,3,2
Shell.java:770,warn,true,InterruptedIOException,NORMAL,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,true,false,false,false,0,0,0,1,1
